#Overview of data in ClinVar by gene, dated November 7, 2021
#Symbol	GeneID	Total_submissions	Total_alleles	Submissions_reporting_this_gene	Alleles_reported_Pathogenic_Likely_pathogenic	Gene_MIM_number	Number_uncertain	Number_with_conflicts
A-GAMMA3'E	109951028	6	6	-	-	-	1	0
A1BG	1	21	21	-	-	138670	4	0
A1BG-AS1	503538	11	11	-	-	-	1	0
A1CF	29974	25	25	7	1	618199	5	0
A2M	2	61	57	23	-	103950	6	0
A2M-AS1	144571	12	12	-	-	-	1	0
A2ML1	144568	1076	735	1033	2	610627	285	21
A3GALT2	127550	12	12	-	-	-	2	0
A4GALT	53947	56	55	14	3	607922	3	0
A4GNT	51146	23	23	2	-	616709	4	0
AAAS	8086	170	117	158	26	605378	42	7
AACS	65985	29	29	7	-	614364	2	0
AADAC	13	22	20	-	-	600338	1	0
AADACL2	344752	16	16	-	-	-	1	0
AADACL2-AS1	101928142	10	8	-	-	-	1	0
AADACL3	126767	46	46	-	4	-	10	0
AADACL4	343066	44	44	-	1	-	9	0
AADAT	51166	55	55	-	-	611754	2	0
AAGAB	79719	60	54	36	15	614888	5	0
AAK1	22848	16	16	4	-	616405	3	0
AAMDC	28971	13	13	-	-	-	5	0
AAMP	14	23	23	-	-	603488	-	-
AANAT	15	24	24	6	-	600950	3	0
AAR2	25980	12	12	2	1	617365	-	-
AARD	441376	45	45	1	-	-	1	0
AARS1	16	929	622	877	15	601065	321	23
AARS2	57505	458	320	441	30	612035	104	23
AARSD1	80755	8	8	-	-	613212	-	-
AASDH	132949	19	19	1	-	614365	3	0
AASDHPPT	60496	23	23	-	-	607756	4	0
AASS	10157	96	91	64	12	605113	17	0
AATBC	284837	52	47	-	-	-	2	0
AATF	26574	126	119	-	-	608463	7	0
AATK	9625	26	26	-	-	605276	-	-
ABALON	103021294	7	7	-	-	616018	-	-
ABAT	18	509	414	432	17	137150	224	16
ABCA1	19	990	550	942	26	600046	129	67
ABCA10	10349	22	22	2	1	612508	3	0
ABCA12	26154	454	328	423	50	607800	136	19
ABCA13	154664	71	70	43	2	607807	14	0
ABCA2	20	133	125	64	5	600047	8	1
ABCA3	21	520	402	481	27	601615	191	24
ABCA4	24	4890	2112	4822	668	601691	589	208
ABCA5	23461	51	50	33	1	612503	4	0
ABCA6	23460	20	20	-	1	612504	4	0
ABCA7	10347	125	117	81	-	605414	18	5
ABCA8	10351	24	24	6	-	612505	3	0
ABCA9	10350	19	19	-	1	612507	3	0
ABCA9-AS1	104355297	3	3	-	-	-	-	-
ABCB1	5243	683	659	662	3	171050	6	0
ABCB10	23456	37	36	3	-	605454	2	0
ABCB11	8647	1100	752	1070	95	603201	214	65
ABCB4	5244	660	409	640	75	171060	189	25
ABCB5	340273	42	42	6	-	611785	5	0
ABCB6	10058	117	79	86	9	605452	7	0
ABCB7	22	286	243	140	9	300135	26	1
ABCB8	11194	77	77	9	-	605464	5	0
